"PoiName";"ZoneCode";"PoiDescription";"PoiTypeId";"UsageTypeId";"PropertyTypeId";"PrimaryBrandId";"PrimaryBrandKeyId";"OperatorMasterId";"PoiStatusId";"Latitude";"Longitude"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1845900";"5.7139800"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1849800";"5.7146900"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1848900";"5.7152400"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1848000";"5.7162100"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1853200";"5.7161500"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1855900";"5.7156100"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1856100";"5.7136000"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1859400";"5.7154400"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1848700";"5.7119800"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1872200";"5.7159300"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1871300";"5.7163600"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1877200";"5.7134800"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1879200";"5.7159200"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1820100";"5.7081900"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1854700";"5.7174200"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1864300";"5.7174500"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1868700";"5.7176700"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1873100";"5.7179100"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1833200";"5.7172600"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1829300";"5.7176800"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1824500";"5.7177600"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1825900";"5.7181700"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1826800";"5.7184500"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1814500";"5.7174900"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1811800";"5.7175300"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1811400";"5.7185400"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1807580";"5.7189760"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1821200";"5.7195900"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1813100";"5.7203400"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1818400";"5.7202200"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1832600";"5.7202400"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1829000";"5.7204500"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1824500";"5.7212000"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1819200";"5.7217900"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1815500";"5.7221200"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1839500";"5.7212200"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1841600";"5.7217100"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1843000";"5.7226700"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1849600";"5.7233200"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1853600";"5.7238700"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1858600";"5.7238100"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1862800";"5.7268400"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1853800";"5.7269900"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1975700";"5.7124000"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1962240";"5.7174960"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1935600";"5.7219800"
